,Actual Uemployment rate,Predicted Unemployement Rate
1294,7.7,6.9
1295,10.0,9.5
1296,10.0,9.9
1297,7.2,8.2
1298,11.9,9.6
1299,6.4,6.6
1300,4.4,4.6
1301,11.4,9.4
1302,13.0,10.7
1303,8.2,8.8
1304,7.6,7.9
1305,5.3,6.6
1306,7.7,8.0
1307,13.9,11.9
1308,7.1,7.7
1309,7.4,7.5
1310,6.6,6.9
1311,5.4,6.0
1312,11.6,11.9
1313,7.2,7.3
1314,6.2,5.6
1315,4.2,4.5
1316,3.6,3.4
1317,8.7,9.0
1318,4.2,5.2
1319,2.8,2.6
1320,4.5,4.4
1321,2.3,2.1
1322,3.9,4.5
1323,2.4,2.6
1324,5.7,6.4
1325,2.0,2.2
1326,4.2,4.0
1327,2.8,3.6
1328,7.3,6.4
1329,2.6,3.6
1330,5.1,3.8
1331,3.5,4.2
1332,4.0,3.6
1333,2.9,2.4
1334,3.1,3.0
1335,2.8,3.1
1336,2.8,3.4
1337,4.1,3.7
1338,4.2,4.0
1339,4.8,2.9
1340,4.6,4.7
1341,3.1,3.4
1342,3.7,3.8
1343,5.1,5.4
1344,5.7,5.5
1345,3.9,2.0
1346,5.2,7.0
1347,3.0,3.6
1348,2.6,2.2
